"group_by_forest","lpsymphony","constr_matrix","fdrtool..gcmlcm","filtered_sorted_pvalues","sorted_weights","sorted_weighted_pvalues","sorted_adj_p","m","r","ntress"
21.002,0.063,0.061,0.464,0.038,0.048,0.141,0.071,1e+05,5,1
43.47,1.842,1.585,7.12,0.495,0.945,3.104,2,1e+05,5,20
53.209,2.567,2.351,10.325,0.744,1.539,4.779,2.907,1e+05,5,30
53.239,2.59,2.408,10.458,0.768,1.537,4.802,2.912,1e+05,5,30
230.481,18.84,17.69,66.287,4.877,9.855,30.24,18.966,1e+05,5,200
229.98,18.957,17.616,66.263,4.898,9.88,30.335,19.152,1e+05,5,200
230.542,19,17.652,66.175,4.919,9.905,30.537,19.177,1e+05,5,200
47.95,4.191,3.458,13.815,0.993,2.196,6.533,3.939,1e+05,1,200
286.714,25.252,23.012,83.489,6.161,12.422,38.139,24.337,1e+05,5,250
336.446,29.735,27.872,100.093,7.421,14.904,45.808,29.091,1e+05,5,300
26.11,1.882,1.629,6.886,0.492,0.96,3.066,2.152,1e+05,1,100
87.646,7.502,7.151,26.687,1.902,4.099,12.296,7.62,1e+05,1,400
